p_id,source,p_base_price,p_name,category,p_gender,p_img,p_link
41860,Noir,69.01$,Silk abaya with textured diamond pattern,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/10/Noir-634-2-scaled.jpg,https://abayanoir.com/product/silk-abaya-with-textured-diamond-pattern/?v=3d9975706be3
41816,Noir,75.99$,Sun rays crepe abaya with satin sleeves.,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/10/Noir-150-scaled.jpg,https://abayanoir.com/product/sun-rays-crepe-abaya-with-satin-sleeves/?v=3d9975706be3
40332,Noir,63.29$,Crepe abaya with satin lining detail on the front,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/06/Abaya-Noir-665.webp,https://abayanoir.com/product/crepe-abaya-with-satin-lining-detail-on-the-front/?v=3d9975706be3
40113,Noir,54.19$,Practical crep abaya with snaps and pockets,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/06/Magic-Pocket-Abaya-1691-1.webp,https://abayanoir.com/product/practical-silk-abaya-with-snaps-and-pockets/?v=3d9975706be3
40343,Noir,59.06$,silky abaya with satin ribbon on the neck.,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/06/Abaya-Noir-677.webp,https://abayanoir.com/product/silky-abaya-with-satin-ribbon-on-the-neck/?v=3d9975706be3
38919,Noir,52.71$,Crepe abaya with casual zipper and 2 pockets. code 1094,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/03/Abaya-Noir-633.webp,https://abayanoir.com/product/crepe-abaya-with-casual-zipper-and-2-pockets/?v=3d9975706be3
39966,Noir,47.84$,Crepe abaya with longitudinal pleats,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/05/Pleated-Crepe-Abaya-4-1.webp,https://abayanoir.com/product/crepe-abaya-with-longitudinal-pleats/?v=3d9975706be3
38789,Noir,52.71$,Cloche silk abaya with satin belts on sleeves and chest.,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/03/Wide-Silk-abaya-3.webp,https://abayanoir.com/product/cloche-silk-abaya-with-satin-belts-on-sleeves-and-chest/?v=3d9975706be3
38638,Noir,43.61$,Satin * crepe V abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/03/Satin-Crepe-Abaya-1.webp,https://abayanoir.com/product/satin-crepe-v-abaya/?v=3d9975706be3
38630,Noir,56.94$,Crepe abaya with puffy sleeves and tassel neck rope,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/03/Empire-France-Crepe-Abaya-4.webp,https://abayanoir.com/product/crepe-abaya-with-puffy-sleeves-and-tassel-neck-rope/?v=3d9975706be3
38621,Noir,73.88$,Layers abaya with lace detailing and satin belt,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/03/Spanish-Lace-Crepe-Abaya-3.webp,https://abayanoir.com/product/layers-abaya-with-lace-detailing-and-satin-belt/?v=3d9975706be3
38776,Noir,66.89$,Tulip cloche abaya with satin collar and sleeves,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/03/Silk-Tulip-Cloche-Abaya-with-Satin-Accesrories-2.webp,https://abayanoir.com/product/tulip-cloche-abaya-with-satin-collar-and-sleeves/?v=3d9975706be3
38646,Noir,81.71$,Tulip wide squared sleeves abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/03/Silk-Tulip-Wide-Abaya-1.webp,https://abayanoir.com/product/tulip-wide-squared-sleeves-abaya/?v=3d9975706be3
37115,Noir,61.18$,Silk abaya with puffy sleeves,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/01/Silk-abaya-with-puffy-sleeves-1.webp,https://abayanoir.com/product/silk-abaya-with-puffy-sleeves/?v=3d9975706be3
37099,Noir,52.71$,New Basic silk Abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/01/New-Basic-silk-Abaya-2.webp,https://abayanoir.com/product/new-basic-silk-abaya/?v=3d9975706be3
37107,Noir,52.71$,New Basic crepe Abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/01/New-Basic-crepe-Abaya-3.webp,https://abayanoir.com/product/new-basic-crepe-abaya/?v=3d9975706be3
37093,Noir,35.14$,Silk teal green open abaya,Abayas,Women,https://abayanoir.com/wp-content/uploads/2024/01/Silk-teal-green-open-abaya-3.webp,https://abayanoir.com/product/silk-teal-green-open-abaya/?v=3d9975706be3
34964,Noir,46.36$,Abaya crepe Abaya Noir With magic zipper and satin,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Abaya-crepe-Abaya-Noir-With-magic-zipper-and-satin_2-scaled.webp,https://abayanoir.com/product/abaya-crepe-abaya-noir-with-magic-zipper-and-satin/?v=3d9975706be3
34963,Noir,48.48$,Abaya crepe Abaya Noir With side banda,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Abaya-crepe-Abaya-Noir-With-side-banda_1-scaled.webp,https://abayanoir.com/product/abaya-crepe-abaya-noir-with-side-banda/?v=3d9975706be3
34936,Noir,56.94$,Abaya Magic Zipper 9,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Abaya-Magic-Zipper-9_1-scaled.webp,https://abayanoir.com/product/abaya-magic-zipper-9/?v=3d9975706be3
34937,Noir,51.44$,Abaya with Zipper and plissee in the back,Abayas,Women,https://abayanoir.com/wp-content/uploads/2023/11/Abaya-with-Zipper-and-plissee-in-the-back_2-scaled.webp,https://abayanoir.com/product/abaya-with-zipper-and-plissee-in-the-back/?v=3d9975706be3
